movie_id,genres_id
146,2
147,0
147,1
147,2
148,0
148,1
148,3
148,4
149,0
149,13
149,11
149,3
150,0
150,16
150,4
151,0
151,3
152,0
152,1
152,3
152,4
153,0
153,1
153,7
153,4
154,0
154,1
154,6
154,2
154,10
154,3
155,0
155,1
155,3
156,0
156,1
156,4
157,0
157,1
157,13
157,14
157,18
158,6
158,7
158,8
158,9
159,0
159,1
159,3
160,0
160,16
160,13
160,11
160,4
161,1
161,8
161,2
162,1
162,13
162,4
162,12
163,1
163,6
163,7
163,8
163,15
164,1
164,6
164,7
164,8
164,12
165,1
165,6
165,7
165,8
166,0
166,11
166,4
167,0
167,1
167,6
167,7
167,8
168,0
168,1
168,7
168,3
169,1
169,3
169,4
170,1
170,13
170,2
170,10
171,1
171,3
171,4
172,0
172,7
172,16
172,4
173,0
173,1
173,6
173,7
173,8
173,2
174,0
174,16
174,11
174,4
175,0
175,1
175,13
176,0
176,1
176,8
176,11
177,1
177,8
177,2
177,11
178,1
178,13
178,10
178,18
179,0
179,1
179,3
180,1
180,6
180,8
180,4
181,0
181,2
182,1
182,7
182,8
182,2
183,0
183,6
183,7
183,8
183,3
184,1
184,8
184,2
185,0
185,7
185,2
186,0
186,1
186,13
186,17
186,3
187,0
187,1
187,2
188,2
189,1
189,3
189,4
190,11
190,4
191,1
191,6
191,7
191,8
191,9
192,0
192,1
192,2
192,3
192,4
193,0
193,16
193,4
194,0
194,1
194,16
194,11
194,4
195,0
195,1
195,14
196,0
196,1
196,4
197,0
198,7
198,8
198,2
199,0
199,1
199,3
199,4
200,0
200,1
200,4
201,0
201,1
201,13
201,4
202,0
202,1
202,3
202,4
203,1
203,13
203,2
204,0
204,2
204,4
205,0
205,4
206,0
206,1
206,7
206,16
207,1
207,11
207,3
208,1
208,6
208,7
208,8
208,2
209,0
209,13
209,3
209,4
210,0
210,1
210,3
210,4
211,0
211,8
211,15
212,7
212,13
212,10
213,0
213,7
213,10
214,0
214,1
214,11
214,3
215,0
215,1
215,2
215,3
216,0
216,1
216,2
216,3
217,1
217,6
217,7
217,8
217,2
218,0
218,1
218,3
218,4
219,0
219,1
219,2
219,3
220,1
220,6
220,7
220,8
220,2
221,1
221,7
221,8
221,2
222,0
222,13
222,18
223,0
223,1
223,13
223,2
224,1
224,13
224,3
224,4
225,0
225,1
225,4
226,0
226,1
226,7
226,3
227,0
227,1
227,7
227,8
227,2
228,0
228,1
228,13
228,4
229,0
229,1
229,4
230,0
230,13
230,14
230,18
231,16
231,4
232,0
232,7
232,16
232,10
232,4
233,1
233,3
233,4
234,19
234,13
235,1
235,7
235,8
235,2
236,0
236,7
236,16
236,3
236,4
237,0
237,1
237,16
238,0
238,13
238,2
238,18
239,1
239,6
239,7
239,8
239,2
240,6
240,7
240,8
240,20
240,12
241,0
241,1
241,11
241,3
241,4
242,0
242,13
242,3
242,15
243,1
243,6
243,7
243,8
243,2
244,0
244,16
244,10
244,4
245,0
245,3
