movie_id,director_id
1056,864
1057,298
1058,100
1059,1059
1060,1060
1061,1061
1062,1062
1063,2
1064,150
1065,1065
1066,1066
1067,729
1068,1068
1069,1069
1070,1070
1071,1071
1072,1072
1073,1073
1074,100
1075,648
1076,68
1077,900
1078,296
1079,1079
1080,17
1081,43
1082,160
1083,1083
1084,1084
1085,1085
1086,1086
1087,384
1088,513
1089,511
1090,1083
1091,1091
1092,1092
1093,1093
1094,246
1095,1095
1096,540
1097,159
1098,1098
1099,342
1100,1100
1101,272
1102,323
1103,1042
1104,831
1105,1105
1106,1106
1107,1107
1108,1108
1109,391
1110,940
1111,1111
1112,1112
1113,629
1114,1114
1115,1115
1116,1116
1117,1117
1118,954
1119,1119
1120,1120
1121,1121
1122,160
1123,721
1124,864
1125,1125
1126,901
1127,1127
1128,127
1129,1129
1130,670
1131,719
1132,1132
1133,1133
1134,53
1135,301
1136,1136
1137,862
1138,197
1139,109
1140,25
1141,1011
1142,38
1143,88
1144,1144
1145,1026
1146,1146
1147,53
1148,1148
1149,849
1150,619
1151,901
1152,423
1153,583
1154,902
1155,371
1156,202
1157,248
1158,640
1159,650
1160,1071
1161,1105
1162,583
1163,100
1164,879
1165,1
1166,1166
1167,1100
1168,1168
1169,1059
1170,46
1171,314
1172,1172
1173,256
1174,456
1175,1175
1176,67
1177,1022
1178,3
1179,784
1180,1180
1181,533
1182,1114
1183,1183
1184,431
1185,764
1186,1186
1187,762
1188,1188
1189,1189
1190,623
1191,849
1192,1065
1193,46
1194,195
1195,1195
1196,733
1197,1197
1198,684
1199,1199
1200,1132
1201,1146
1202,197
1203,100
1204,1204
1205,1205
1206,933
1207,1207
1208,406
1209,583
1210,160
1211,446
1212,595
1213,1053
1214,1214
1215,1042
1216,970
1217,1217
1218,184
1219,268
1220,799
1221,824
1222,277
1223,1223
1224,1224
1225,435
1226,61
1227,1011
1228,1005
1229,1229
1230,587
1231,1231
1232,1232
1233,858
1234,281
1235,1235
1236,1236
1237,1237
1238,1238
1239,1239
1240,961
1241,770
1242,958
1243,721
1244,1244
1245,1245
1246,1144
1247,1247
1248,1248
1249,266
1250,980
1251,1251
1252,1252
1253,1253
1254,1254
1255,919
1256,1217
1257,1257
1258,943
1259,705
1260,1260
1261,875
1262,1262
1263,762
1264,1264
1265,737
1266,1266
1267,308
1268,1268
1269,303
1270,1270
1271,147
1272,1272
1273,185
1274,645
1275,63
1276,105
1277,7
1278,1278
1279,852
1280,389
1281,200
1282,513
1283,507
1284,1284
1285,862
1286,1286
1287,1287
1288,90
1289,160
1290,1290
1291,1291
1292,97
1293,1293
1294,913
1295,1295
1296,726
1297,648
1298,97
1299,770
1300,20
1301,958
1302,210
1303,1303
1304,1304
1305,510
1306,1306
1307,1307
1308,919
1309,1309
1310,1310
1311,1086
1312,1312
1313,1313
1314,1314
1315,116
1316,1306
1317,1317
1318,1318
1319,1319
1320,1168
1321,425
1322,896
1323,1323
1324,83
1325,1325
1326,1326
1327,1319
1328,824
1329,504
1330,662
1331,1331
1332,588
1333,954
1334,948
1335,220
1336,1336
1337,401
1338,1338
1339,300
1340,105
1341,973
1342,150
1343,1343
1344,160
1345,862
1346,414
1347,1313
1348,670
1349,1349
1350,414
1351,61
1352,507
1353,529
1354,1354
1355,423
1356,864
1357,76
1358,298
1359,225
1360,386
1361,558
1362,558
1363,1363
1364,1364
1365,631
1366,1172
1367,1343
1368,900
1369,529
1370,334
1371,1371
1372,1144
1373,336
1374,1374
1375,43
1376,364
1377,1313
1378,314
1379,954
1380,1380
1381,1381
1382,160
1383,1383
1384,1384
1385,1385
1386,648
1387,424
1388,1115
1389,500
1390,623
1391,1391
1392,1392
1393,435
1394,578
1395,1395
1396,1396
1397,1317
1398,63
1399,623
1400,1400
1401,980
1402,1402
1403,1403
1404,1404
1405,475
1406,1406
1407,864
1408,1408
1409,1409
1410,1146
1411,764
1412,1132
1413,836
1414,640
1415,925
1416,1098
1417,1417
1418,1418
1419,694
1420,635
1421,1204
1422,1422
1423,425
1424,1424
1425,257
1426,871
1427,1427
1428,901
1429,1429
1430,908
1431,53
1432,1432
1433,20
1434,160
1435,150
1436,640
1437,1437
1438,348
1439,1439
1440,1440
1441,151
1442,162
1443,973
1444,1444
1445,1445
1446,689
1447,1447
1448,61
1449,175
1450,1450
1451,272
1452,1452
1453,1453
1454,1454
1455,807
1456,1223
1457,1009
1458,662
1459,574
1460,239
1461,1461
1462,1462
1463,1463
1464,1464
1465,1465
1466,1466
1467,1467
1468,43
1469,1469
1470,1470
1471,1214
1472,1472
1473,60
1474,91
1475,707
1476,150
1477,1477
1478,1107
1479,1120
1480,1480
1481,1453
1482,1482
1483,1483
1484,879
1485,95
1486,902
1487,197
1488,721
1489,46
1490,1490
1491,966
1492,159
1493,27
1494,1060
1495,61
1496,1496
1497,1497
1498,1291
1499,1499
1500,271
1501,1501
1502,231
1503,1503
1504,849
1505,1505
1506,770
1507,1507
1508,342
1509,53
1510,1510
1511,961
1512,1331
1513,902
1514,578
1515,1107
1516,1516
1517,17
1518,16
1519,336
1520,1520
1521,34
1522,244
1523,1523
1524,1524
1525,1467
1526,195
1527,1527
1528,17
1529,878
1530,544
1531,1395
1532,88
1533,209
1534,1534
1535,623
1536,623
1537,729
1538,1168
1539,1132
1540,256
1541,1541
1542,1111
1543,143
1544,1544
